Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2014,ESSILORLUXOTTICA SA,France,Manufacture of wearing apparel; dressing and dyeing of fur 18,-1.19,-9.01,77116423,-18999,1053472,237604,"-3,373","-11,074",3537934,"5,644",4,81973236
2010,AKAMAI TECHNOLOGIESINC.,United States,Computer and related activities 72,-2.27,-9.15,22749810,-5353,302413,"-70,802",-964,"-1,186",124496,472,2,23254551
2015,KBC GROUP NV,Belgium,Financial intermediationexcept insurance and pension funding 65,-0.22,-1.6,28504740,-7164,379921,"-88,988","-1,255","-8,674",1130421,"1,790",5,30119372
2018,BCE INC,Canada,Post and telecommunications 64,-0.51,-2.15,83160594,-25603,1128040,264007,"-4,217",671997,1657405,"19,912",16,86891949
2012,ASAHI HOLDINGS INCORPORATION,Japan,Quarrying of sand and clay,-1,-13.5,17132867,-5850,226111,"-53,215",-866,"-3,846","-93,566","3,684",18,17512637
2012,MEDIA PRIMA BHD,Malaysia,Publishingprinting and reproduction of recorded media 22,-2.37,-14.22,12873473,-3971,163701,"-38,357",-625,"-4,312","-67,760","2,080",13,13150119
2013,ORANGE SA,France,Post and telecommunications 64,-0.81,-5.83,441952324,104101,5882627,1378358,"-18,728","-29,629",10539449,"8,893",2,459896324
2013,FIRST FINANCIAL HOLDING COMPANY LIMITED,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.35,-1.6,5994172,-2043,"-74,865","-15,375",-323,"-11,267",819767,"2,453",7,6915359
2013,PNC FINANCIAL SERVICES GROUP INCORPORATED,United States,Financial intermediationexcept insurance and pension funding 65,-0.86,-2.61,125822554,-30634,1672403,391784,"-5,443","-11,807",16898633,"5,523",3,144827734
2015,YAKULT HONSHA CO LTD,Japan,Processing of Food products nec,-0.92,-9.68,26451094,-6047,348327,"-80,867","-1,096","-8,603",1198383,31,4,28094385
2015,OKAMURA CORPORATION,Japan,Other service activities 93,-0.7,-17.68,12605227,-3001,167857,"-39,216",-537,"-3,231","-68,956",347,1,12887677
2015,NESTE OYJ,Finland,Extraction of natural gas and services related to natural gas extractionexcluding surveying,-4.44,-54.05,531706782,190306,6909489,1609445,"-25,585",-  ,941941,"70,877",0,541312671
2011,DUNELM GROUP PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.85,-5.46,6973074,-1679,"-92,491","-21,679",-299,"-1,203","-38,120",223,3,7128322
2010,KOHL'S CORPORATION,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.58,-13.85,250521138,-59194,3333049,781227,"-10,640","-10,882",35023315,"5,672",2,289733774
2015,REPUBLIC SERVICESINC.,United States,Real estate activities 70,-52.77,-293.62,4705796178,1076925,62560681,14666725,195914,"-7,914",25790486,"1,664",0,4810093160
2013,BCE INC,Canada,Post and telecommunications 64,-0.38,-1.63,65267102,-20553,886856,207529,"-3,362",574201,5399412,"17,014",16,72342000
2017,NIEN MADE ENTERPRISE CO LTD,Taiwan,Manufacture of furniture; manufacturing n.e.c. 36,-5.09,-20.48,32460486,-7561,432089,100832,"-1,365",-818,693109,427,1,33695833
2018,KAZ MINERALS PLC,United Kingdom,Copper production,-55.98,-138.15,798953226,184605,10621749,2490328,"-33,412","-31,622",97280390,"3,944",1,909591389
2015,CHINA OVERSEAS LAND & INVESTMENT LIMITED,Hong Kong,Real estate activities 70,-2.77,-10.18,436970403,102719,5776305,1352537,"-18,330","-76,327",56285286,"3,671",1,500578236
2018,ICA GRUPPEN AB,Sweden,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.17,-4.54,15207995,-6488,190767,"-44,081",-960,"-24,358",6300815,"8,882",7,21766582
2012,WERELDHAVE N.V.,Netherlands,Financial intermediationexcept insurance and pension funding 65,-1.37,-4.72,5054409,-1182,"-67,290","-15,773",-213,-238,446170,78,1,5585198
2017,DRAX GROUP PLC,United Kingdom,Production of electricity by hydro,-29.37,-1739.95,1410044402,519558,18702589,4401451,"-76,370",172286,30700246,440383,2,1464176520
2015,PGS ASA,Norway,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-1.62,0,123016846,-33144,1889833,348921,"-5,754","-42,177",1475400,"30,247",4,126781828
2012,RYDER SYSTEMINC.,United States,Other land transport,-3.61,-64.39,218374503,-49939,2904364,680893,"-9,089",-11,3919283,4,0,225938077
2018,AYALA LAND INC,Philippines,Real estate activities 70,-2.99,-9.18,86142060,-20003,1121481,261953,"-3,584","-50,248",6609178,253,2,94208254
2017,SYMRISE AG,Germany,Chemicals nec,-2.21,-16.55,73250792,-42911,951019,124055,"-3,777",1210464,3912001,"24,568",20,79470451
2015,SANFORD LTD,New Zealand,Processing of Food products nec,-7.4,-72.41,18376042,-6793,201704,"-46,119","-15,566","-26,479",3835373,"5,529",2,22502549
2011,FERROVIAL SA,Spain,Construction 45,-3.45,-41.93,325896927,-75719,4338632,1014728,"-13,659","-5,262",1804002,"2,654",1,333146275
2017,KINGDEE INTERNATIONAL SOFTWARE GROUP COMPANY LIMITED,China,Computer and related activities 72,-1.51,0,2430363,-576,"-32,292","-7,560",-103,-253,3727273,53,1,6198367
2016,REPUBLIC SERVICESINC.,United States,Real estate activities 70,-47.92,-271.46,4401082752,1007270,58507161,13716370,183234,"-8,213",24119345,"1,726",0,4498622618
2016,KIA MOTORS CORPORATION,South Korea,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.95,-20.29,402787285,-91749,5501868,1225198,"-16,824",164559,5130763,"11,575",2,414906671
2015,CHINA UNITED NETWORK COMMUNICATIONS LIMITED,China,Post and telecommunications 64,-4.06,-85.82,1694077261,388946,22433113,5258738,"-70,469",122869,9247103,-701,0,1731599200
2014,LENNOX INTERNATIONAL INCORPORATED,United States,Construction 45,-1.53,-15.1,49764052,-11295,665237,154536,"-2,064",-281,803187,15,0,51400636
2014,N BROWN GROUP PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.27,-2.11,3448095,-905,"-45,518","-10,665",-155,"-1,650","-18,750",306,7,3525431
2017,CHINA MOBILE LIMITED,Hong Kong,Post and telecommunications 64,-4.5,-25.1,4977110521,1133108,65901337,15447181,206216,365601,865575624,"-21,871",1,5925761459
2011,BALFOUR BEATTY PLC,United Kingdom,Construction 45,-1.01,-56.59,145622819,-34607,1938445,453926,"-6,188","-9,278",1449908,"3,332",2,149511839
2018,CEMEX SAB DE CV,Mexico,Quarrying of sand and clay,-96.26,-809.5,12610650470,3507686,169439475,39724976,591840,"-29,951",740211288,1731609,0,13562424077
2016,INGEVITY CORP,United States,Chemicals nec,-8.13,-46.02,71776801,-18802,964175,216952,"-3,127","-48,836",784008,"4,431",5,73808270
2011,SAS AB,Sweden,Air transport 62,-12.24,-584.83,716050853,318022,10124917,2357086,"-48,153",-  ,4460372,486967,1,732872437
2014,AMERICAN EXPRESS COMPANY,United States,Financial intermediationexcept insurance and pension funding 65,-0.11,-0.46,31832258,-11649,421021,"-97,988","-1,809","-27,743",7422344,"12,978",19,39801835
2015,NOKIAN TYRES PLC,Finland,Manufacture of rubber and plastic products 25,-2.74,-12.73,39135031,-9070,503929,117055,"-1,624",245500,417486,338,8,40429357
2015,VONOVIA SE,Germany,Real estate activities 70,-0.17,-0.6,3934939,-1029,"-52,620","-12,322",-178,"-1,572","-24,992",365,8,4027286
2016,WILLIAM HILL PLC,United Kingdom,Recreationalcultural and sporting activities 92,-0.76,-5.11,14757926,-3471,196357,"-46,008",-623,"-1,539","-80,902",229,2,15086597
2013,CELLTRIONINCORPORATION,South Korea,Research and development 73,-6.58,-14.98,13848577,-3656,181509,"-41,539",-643,"-9,277","-73,029","2,059",3,14156171
2013,WIENERBERGER AG,Austria,Quarrying of sand and clay,-16.03,-2015.46,570165466,130618,7538597,1766111,"-23,695","-5,512",8755697,-447,0,588386143
2018,FORMOSA TAFFETA COMPANY LIMITED,Taiwan,Manufacture of textiles 17,-10.27,-186.11,135443905,-32424,1805861,416426,"-5,745","-64,065",11722598,"3,714",1,149487310
2013,MEDIA PRIMA BHD,Malaysia,Publishingprinting and reproduction of recorded media 22,-2.69,-17.21,13861397,-4094,177591,"-41,616",-657,"-3,881","-73,748","1,872",11,14161113
2012,SK TELECOM CO LTD,South Korea,Post and telecommunications 64,-1.21,-11.18,180453350,-42533,2400748,562485,"-7,650","-15,980",2302722,"3,738",2,185781728
2012,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. 91,-5.98,-49.01,2205074236,507904,29292019,6866540,"-92,132","-31,821",12074264,"9,758",0,2253929159
2013,VODAFONE GROUP PUBLIC LIMITED COMPANY,United Kingdom,Post and telecommunications 64,-0.99,-7.91,712385518,169768,9454823,2215569,"-30,287",111341,6196557,"16,628",2,730547236
2017,HENGTEN NETWORKS GROUP LTD,China,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.45,-3.26,236345,-49,"-2,913",-664,-9,-191,433741,-14,6,673926
2011,FLUOR CORPORATION,United States,Construction 45,-0.1,-2.35,23638302,-5065,329360,"-70,822",-952,"-2,295",124537,123,7,24171210
2015,LS INDUSTRIAL SYSTEMS COMPANY LIMITED,South Korea,Manufacture of radiotelevision and communication equipment and apparatus 32,-4.27,-63.47,77804562,-17934,1035359,242242,"-3,250","-5,809",917128,355,0,80025928
2015,FURUKAWA ELECTRIC CO LTD,Japan,Manufacture of radiotelevision and communication equipment and apparatus 32,-3.69,-179,254128112,-59198,3388053,792084,"-10,693","-3,358",7626866,"3,315",0,266005049
2011,COSTCO WHOLESALE CORPORATION,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.51,-18.76,447773591,114111,5962640,1396708,"-19,949","-66,974",2455729,"34,906",7,457754796
2015,TOYO SUISAN KAISHA LIMITED,Japan,Processing of Food products nec,-3.17,-48.11,97131788,-22562,1289100,301406,"-4,074","-8,913",1855402,975,2,100612269
2018,ELISA OYJ,Finland,Post and telecommunications 64,-1.04,-4.82,21409137,-4910,284680,"-66,741",-892,-635,120367,32,0,21887330
2017,HANG LUNG GROUP LIMITED,Hong Kong,Real estate activities 70,-5.39,-9.66,72744134,-16867,964543,225993,"-3,040","-6,342",10428961,305,0,84389576
2015,HONDA MOTOR CO.LTD.,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.58,-31.32,1688348600,378249,22456735,5095828,"-69,175",222079,29576125,-279,6,1746147072
2017,GRUPO ARGOS SA,Colombia,Quarrying of sand and clay,-418.52,-3343.54,2053847460,1026410,21549601,5204802,914099,2596507,17743922516,519281,4,19828542113
2018,RINNAI CORPORATION,Japan,Manufacture of office machinery and computers 30,-1.06,-11.25,32863448,-7787,438551,101951,"-1,396","-2,414",259160,854,1,33673853
2017,SWIRE PACIFIC LIMITED,Hong Kong,Real estate activities 70,-57.17,-446.14,5744130662,1315128,76375772,17905167,239155,"-41,610",31485117,"2,001",0,5871490611
2010,AMADEUS IT GROUP SA,Spain,Computer and related activities 72,-0.21,-1.68,6003424,-1520,"-80,112","-18,765",-266,"-1,302",1149793,427,5,7254756
2015,MITSUI MINING & SMELTING CO LTD,Japan,Quarrying of sand and clay,-9.9,-147.2,381175016,-92143,5064993,1187999,"-16,259","-9,900",2088999,"9,484",3,389625826
2010,GAZPROM PAO,Russia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-26.15,-83.95,28055385325,11815481,374154724,87247489,1625716,23173107,2837509903,11342139,2,31379569605
2011,NEXANS SA,France,Manufacture of radiotelevision and communication equipment and apparatus 32,-1.28,-40.98,110028600,-32503,1425829,332269,"-5,362","-45,406",3075515,"21,408",12,114924076
2018,SANTOS BRASIL PARTICIPACOES S.A.,Brazil,Sea and coastal water transport,-4.93,-77.77,1346099,-6968,142415,"32,808",-408,13348852,"87,396","13,300",13,11734209
2014,GLAXOSMITHKLINE CONSUMER HEALTHCARE LIMITED,India,Processing of Food products nec,-6.71,-50.55,29174091,-10793,387140,"-74,137","-1,549","-37,708",10090376,"9,461",11,39766333
2018,MCH GROUP AG,Switzerland,Publishingprinting and reproduction of recorded media 22,-0.08,0,-23505,-138,-554,-81,-14,-551,407436,328,9,431952
2014,STANDARD CHEM. & PHARM. CO LTD,Taiwan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-2.75,-24.04,2807391,-759,"-36,824","-8,600",-130,-642,"-15,119",350,9,2869116
2017,CHINA ENERGY ENGINEERING CORP LTD,China,Construction 45,-3.63,-81.58,1476280389,565378,19770213,4647124,"-82,768",1310058,9311278,536245,2,1511430963
2015,EBRO FOODS SA,Spain,Processing of Food products nec,-27.37,-285.61,67658573,-17834,902137,211291,"-3,085","-6,068",662983343,"7,152",0,731775180
2018,MITSUI FUDOSAN CO LTD,Japan,Real estate activities 70,-0.98,-6.98,152076600,-35866,2024049,474066,"-6,449","-11,385",1721701,"3,239",2,156346878
2014,MOHAWK INDUSTRIESINC.,United States,Manufacture of furniture; manufacturing n.e.c. 36,-9.01,-85.3,641517552,175754,8527362,1981845,"-29,974",385486,50723787,"90,426",9,703251335
2018,E SUN FINANCIAL HOLDING COMPANY LIMITED,Taiwan,Financial intermediationexcept insurance and pension funding 65,-0.31,-1.05,6719408,-2513,"-82,313","-16,135",-387,"-16,366",176997,"3,564",9,7010555
2016,HOCHTIEF AG,Germany,Construction 45,-3.29,-163.78,670003204,161676,8775843,2055254,"-28,672","-45,139",9759866,"22,218",2,690807436
2017,FABEGE AB,Sweden,Real estate activities 70,-0.23,-0.51,399662,-102,"-5,188","-1,211",-18,-302,247582,30,2,654035
2015,ASHTEAD GROUP PLC,United Kingdom,Renting of machinery and equipment without operator and of personal and household goods 71,-2.32,-7.55,68274570,-15757,908059,212885,"-2,855","-2,135",374343,346,1,69790257
2010,ASAHI KASEI CORPORATION,Japan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-9.46,-235.24,1567998568,436994,20788457,4853389,"-70,787",149786,77253888,132152,1,1671419716
2017,AXTEL S.A.B. DE C.V.,Mexico,Post and telecommunications 64,-3.03,-81.5,22348367,-5117,297245,"-69,687",-931,-47,1279279,18,0,24000655
2012,WEG S.A.,Brazil,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.63,-4.91,17606962,-4093,234722,"-54,763",-738,-164,1035085,175,1,18936353
2011,WOOLWORTHS HOLDINGS LIMITED,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-3.8,-47.73,113755190,-26000,1511863,354314,"-4,731","-7,592",4855901,-45,0,120515637
2015,SGL CARBON SE,Germany,Manufacture of radiotelevision and communication equipment and apparatus 32,-17.44,0,233383522,-56237,3085430,722756,"-10,016","-16,271",13347935,"8,280",3,250613887
2014,COEUR MINING INC,United States,Mining of other non-ferrous metal ores and concentrates,-12.82,0,79786400,-30438,949561,184779,"-4,803",273513,324494,"49,231",4,81504758
2011,IG GROUP HOLDINGS PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.24,-0.5,1150369,-288,"-15,315","-3,589",-50,-349,"-6,426",63,5,1176323
2010,OMRON CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.64,-25.69,40255080,-9237,538586,124949,"-1,680","-2,350",488615,323,1,41420174
2013,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation 67,-0.05,-0.5,30795729,-8306,402831,"-92,996","-1,434","-27,183",2806821,"4,452",2,34130848
2018,ADELAIDE BRIGHTON LIMITED,Australia,Quarrying of sand and clay,-62.63,-476.43,684419904,175176,9080945,2130892,"-29,877","-37,737",24766554,"32,778",6,720608307
2010,CEZ A.S,Czech Republic,Production of electricity nec,-84.16,0,8764561941,3276904,115446943,27307872,460933,115948,48209918,2209301,0,8957171159
2016,GREGGS PLC,United Kingdom,Other service activities 93,-3.57,-40.7,38532099,-8892,512418,120129,"-1,610","-1,179",313988,167,0,39490148
2014,MACRONIX INTERNATIONAL COMPANY LIMITED,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-19.94,0,136174219,-31372,1809842,423979,"-5,689","-2,013",2939482,615,0,141385982
2017,COUNTRYSIDE PROPERTIES PLC,United Kingdom,Construction 45,-0.19,-1.23,2050552,-558,"-27,388","-6,384",-94,-633,"-93,264",227,9,2178646
2011,ALGONQUIN POWER & UTILITIES CORPORATION,Canada,Production of electricity nec,-4.2,-21.75,11285432,-13230,"-37,639","-6,315","-9,728","-68,050","-10,699","30,280",18,11400814
2017,SEAGATE TECHNOLOGY,United States,Manufacture of office machinery and computers 30,-3.9,-34.06,389402828,-93319,5173539,1208324,"-16,672","-39,557",23658126,"13,218",2,419579146
2014,BOURBON CORPORATION,Japan,Processing of Food products nec,-2.99,-165.8,25003308,-6206,332689,"-77,812","-1,089","-2,194",463058,"1,272",4,25885084
2015,CITY LODGE HOTELS LTD,South Africa,Other service activities 93,-13.31,-38.29,8309727,-1892,110246,"-25,769",-344,"-2,110",2753526,-20,1,11203634
2018,HASBROINC.,United States,Manufacture of rubber and plastic products 25,-0.05,-0.69,2222333,-416,"-23,423","-5,447",-76,"-18,060","-29,228",-367,17,2299349
2012,SUNCOR ENERGY INCORPORATED,Canada,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-13.18,-95.84,4758877006,1588979,62859199,14585023,239387,9759035,210302641,1044490,3,5057166779
2018,CHINA COMMUNICATIONS SERVICES CORPORATION LTD,China,Construction 45,-0.67,-32.99,100738379,-33592,1251862,294385,"-4,768",485121,517647,"12,868",14,103312887
2013,COMPANIA SANEAMENTO DE MINAS GERAIS,Brazil,Collectionpurification and distribution of water 41,-12.55,-76.21,193965584,-44349,2572988,603097,"-8,064","-1,014",1060503,-159,0,198255759
2015,WALSIN TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-13.04,-201.27,57805125,-13394,767860,179771,"-2,422","-1,520",4621686,464,0,63391314
2012,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,Japan,Post and telecommunications 64,-0.98,-8.35,1159172298,269057,15429105,3616902,"-48,697","-32,927",17305891,"11,894",1,1195862982
2015,SVENSKA HANDELSBANKEN AB,Sweden,Financial intermediationexcept insurance and pension funding 65,-0.04,-0.11,2600201,-710,"-34,213","-8,010",-119,"-2,408","-14,082",283,9,2659461
2018,GILDAN ACTIVEWEAR INC.,Canada,Manufacture of wearing apparel; dressing and dyeing of fur 18,-3.84,-25.51,126990742,-34151,1629662,379905,"-5,537","-39,338",15951131,"6,079",6,145024386
2012,DAI-ICHI LIFE HOLDINGS INC,Japan,Insurance and pension fundingexcept compulsory social security 66,-0.07,0,38674273,-12001,513646,119719,"-1,945","-26,256",210450,"8,920",15,39549371
2011,JSR CORPORATION,Japan,Chemicals nec,-7.25,-63.21,215866174,-51949,2826658,654805,"-9,191",411134,101396670,"7,075",3,321209505
2018,PROMOTORA DE INFORMACIONES S.A. PRISA,Spain,Publishingprinting and reproduction of recorded media 22,-0.56,-5.37,5022673,-2081,"-52,870","-12,148",-270,360147,2555028,"1,773",10,8003442
2013,UBE INDUSTRIES LTD,Japan,Petroleum Refinery,-50.3,-1047.71,2928487120,839886,39070149,9150770,139910,2689670,16087449,471137,2,2995993817
2018,MITIE GROUP PLC,United Kingdom,Real estate activities 70,-0.41,-10.24,11319308,-2679,150772,"-35,337",-481,"-1,192","-78,170",261,2,11587678
